region,country,prosperity_2020,protesterviolence,partipants_number,pop_density,pop_total,labor_wage_dispute,land_farm_issue,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,arrests,accomodation,beatings,crowddispersal,ignore,killings,shootings,protest_duration,violent_response,violent_count
MENA,Algeria,51.869119678400004,23.0,4770130,1748.9820000000018,4165657.004,2,1,4,93,3,70,3,6,4,1,44,46,7,2,171,10,10
MENA,Bahrain,61.3105894263,19.0,63400,70473.79200000002,53560.08299999996,5,2,6,40,0,2,1,9,4,4,34,8,3,5,99,9,12
MENA,Egypt,47.98428526399999,44.0,923811,10646.378000000004,10597925.678999996,6,2,25,87,2,33,5,38,10,17,47,43,24,26,448,44,67
MENA,Iran,48.12261347020001,49.0,1116695,5445.243000000003,8867842.001999997,5,5,8,84,12,15,14,36,9,25,27,36,12,17,251,46,54
MENA,Iraq,44.557454154300004,44.0,384975,9165.228000000001,3980651.411999998,9,0,7,112,1,38,4,4,7,5,32,73,33,35,163,44,73
MENA,Jordan,56.5880315084,8.0,74520,3960.5819999999976,351619.81,3,0,3,32,15,5,0,4,11,5,7,25,2,2,69,6,9
MENA,Kuwait,61.016606903500005,10.0,32250,7308.620999999999,130239.51299999996,4,0,6,33,0,2,4,13,1,4,15,20,0,0,90,4,4
MENA,Lebanon,52.9957107917,40.0,12404900,69785.37399999998,713904.492,14,1,9,108,16,76,1,3,6,2,77,40,3,2,179,7,7
MENA,Libya,41.871060563600004,6.0,30060,81.13300000000001,142753.03200000006,2,0,1,16,0,6,0,0,4,0,4,12,3,7,78,7,10
MENA,Morocco,54.864770273599994,9.0,1774050,3009.3549999999987,1343075.6000000003,5,1,11,24,4,1,7,8,3,2,8,23,2,0,1120,4,4
MENA,Oman,59.683613691000005,3.0,8650,283.11999999999995,87628.29,19,0,1,21,4,4,0,0,4,0,4,19,1,1,47,1,2
MENA,Qatar,66.4553198989,0.0,100,52.973,615.013,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0
MENA,Saudi Arabia,59.0121685173,2.0,16030,265.84400000000005,571480.7630000002,2,0,2,17,0,0,1,8,2,2,4,6,2,4,33,6,8
MENA,Sudan,36.5680541969,18.0,66550,1437.6310000000014,2537497.8170000007,0,0,15,32,13,24,4,19,3,11,41,15,21,10,141,30,42
MENA,Syria,37.0724289586,2.0,18750,1661.2050000000002,305046.587,0,0,7,13,0,6,0,3,3,2,1,9,3,2,702,5,7
MENA,Tunisia,54.059474063500005,19.0,205600,3162.563999999999,491337.23,8,0,4,22,11,5,5,8,8,5,18,19,3,4,294,9,12
MENA,Turkey,54.941570609799996,33.0,2970450,12266.727999999974,9440835.270999996,4,2,34,96,4,8,13,15,4,6,54,53,7,5,273,16,18
MENA,United Arab Emirate,67.1086879731,2.0,4900,192.072,16057.24,2,0,0,0,1,0,0,1,1,0,0,1,0,0,3,0,0
